name,path,description
MKTX,Stocks\US\Nasdaq\MKTX,MarketAxess Holdings Inc
MLM,Stocks\US\NYSE\MLM,Martin Marietta Materials Inc
MNST,Stocks\US\Nasdaq\MNST,Monster Beverage Corp
MO,Stocks\US\NYSE\MO,Altria Group Inc
MOH,Stocks\US\NYSE\MOH,Molina Healthcare Inc
MOS,Stocks\US\NYSE\MOS,Mosaic Co/The
MPWR,Stocks\US\Nasdaq\MPWR,Monolithic Power Systems Inc
MRNA,Stocks\US\Nasdaq\MRNA,Moderna Inc
MPC,Stocks\US\NYSE\MPC,Marathon Petroleum Corp
MRVL,Stocks\US\Nasdaq\MRVL,Marvell Technology Inc
MS,Stocks\US\NYSE\MS,Morgan Stanley
MSCI,Stocks\US\NYSE\MSCI,MSCI Inc
MSI,Stocks\US\NYSE\MSI,Motorola Solutions Inc
MSM,Stocks\US\NYSE\MSM,MSC Industrial Direct Co Inc
MSTR,Stocks\US\Nasdaq\MSTR,Strategy Inc
MTB,Stocks\US\NYSE\MTB,M&T Bank Corp
MTD,Stocks\US\NYSE\MTD,Mettler-Toledo International I
MTN,Stocks\US\NYSE\MTN,Vail Resorts Inc
MTZ,Stocks\US\NYSE\MTZ,MasTec Inc
MU,Stocks\US\Nasdaq\MU,Micron Technology Inc
NBIX,Stocks\US\Nasdaq\NBIX,Neurocrine Biosciences Inc
NCLH,Stocks\US\NYSE\NCLH,Norwegian Cruise Line Holdings
NDAQ,Stocks\US\Nasdaq\NDAQ,Nasdaq Inc
NDSN,Stocks\US\Nasdaq\NDSN,Nordson Corp
NEE,Stocks\US\NYSE\NEE,NextEra Energy Inc
NEM,Stocks\US\NYSE\NEM,Newmont Corp
NET,Stocks\US\NYSE\NET,Cloudflare Inc
NI,Stocks\US\NYSE\NI,NiSource Inc
NFLX,Stocks\US\Nasdaq\NFLX,Netflix Inc
NOC,Stocks\US\NYSE\NOC,Northrop Grumman Corp
NOV,Stocks\US\NYSE\NOV,NOV Inc
NOW,Stocks\US\NYSE\NOW,ServiceNow Inc
NRG,Stocks\US\NYSE\NRG,NRG Energy Inc
NTAP,Stocks\US\Nasdaq\NTAP,NetApp Inc
NTNX,Stocks\US\Nasdaq\NTNX,Nutanix Inc
NTRS,Stocks\US\Nasdaq\NTRS,Northern Trust Corp
NSC,Stocks\US\NYSE\NSC,Norfolk Southern Corp
NUE,Stocks\US\NYSE\NUE,Nucor Corp
NVST,Stocks\US\NYSE\NVST,Envista Holdings Corp
NVDA,Stocks\US\Nasdaq\NVDA,NVIDIA Corp
NWL,Stocks\US\Nasdaq\NWL,Newell Brands Inc
NWSA,Stocks\US\Nasdaq\NWSA,News Corp
NXST,Stocks\US\Nasdaq\NXST,Nexstar Media Group Inc
NYT,Stocks\US\NYSE\NYT,New York Times Co/The
OC,Stocks\US\NYSE\OC,Owens Corning
ODFL,Stocks\US\Nasdaq\ODFL,Old Dominion Freight Line Inc
OGE,Stocks\US\NYSE\OGE,OGE Energy Corp
OKTA,Stocks\US\Nasdaq\OKTA,Okta Inc
OLED,Stocks\US\Nasdaq\OLED,Universal Display Corp
OLLI,Stocks\US\Nasdaq\OLLI,Ollie's Bargain Outlet Holding
OKE,Stocks\US\NYSE\OKE,ONEOK Inc
OLN,Stocks\US\NYSE\OLN,Olin Corp
OMCL,Stocks\US\Nasdaq\OMCL,Omnicell Inc
OMC,Stocks\US\NYSE\OMC,Omnicom Group Inc
OMF,Stocks\US\NYSE\OMF,OneMain Holdings Inc
ON,Stocks\US\Nasdaq\ON,ON Semiconductor Corp
ORCL,Stocks\US\NYSE\ORCL,Oracle Corp
ORI,Stocks\US\NYSE\ORI,Old Republic International Cor
OSK,Stocks\US\NYSE\OSK,Oshkosh Corp
OTIS,Stocks\US\NYSE\OTIS,Otis Worldwide Corp
ORLY,Stocks\US\Nasdaq\ORLY,O'Reilly Automotive Inc
OZK,Stocks\US\Nasdaq\OZK,Bank OZK
OXY,Stocks\US\NYSE\OXY,Occidental Petroleum Corp
PANW,Stocks\US\NYSE\PANW,Palo Alto Networks Inc
PAYC,Stocks\US\NYSE\PAYC,Paycom Software Inc
PAYX,Stocks\US\Nasdaq\PAYX,Paychex Inc
PCAR,Stocks\US\Nasdaq\PCAR,PACCAR Inc
PCTY,Stocks\US\Nasdaq\PCTY,Paylocity Holding Corp
PEG,Stocks\US\NYSE\PEG,Public Service Enterprise Grou
PEGA,Stocks\US\Nasdaq\PEGA,Pegasystems Inc
PEN,Stocks\US\NYSE\PEN,Penumbra Inc
PENN,Stocks\US\Nasdaq\PENN,Penn Entertainment Inc
PEP,Stocks\US\Nasdaq\PEP,PepsiCo Inc
PFG,Stocks\US\Nasdaq\PFG,Principal Financial Group Inc
PFGC,Stocks\US\NYSE\PFGC,Performance Food Group Co
PGNY,Stocks\US\Nasdaq\PGNY,Progyny Inc
PGR,Stocks\US\NYSE\PGR,Progressive Corp/The
PH,Stocks\US\NYSE\PH,Parker-Hannifin Corp
PHM,Stocks\US\NYSE\PHM,PulteGroup Inc
PII,Stocks\US\NYSE\PII,Polaris Inc
PINS,Stocks\US\NYSE\PINS,Pinterest Inc
PKG,Stocks\US\NYSE\PKG,Packaging Corp of America
PLD,Stocks\US\NYSE\PLD,Prologis Inc
PLNT,Stocks\US\NYSE\PLNT,Planet Fitness Inc
PNFP,Stocks\US\NYSE\PNFP,Pinnacle Financial Partners In
PM,Stocks\US\NYSE\PM,Philip Morris International In
PNC,Stocks\US\NYSE\PNC,PNC Financial Services Group I
PNW,Stocks\US\NYSE\PNW,Pinnacle West Capital Corp
PODD,Stocks\US\Nasdaq\PODD,Insulet Corp
POOL,Stocks\US\Nasdaq\POOL,Pool Corp
POST,Stocks\US\NYSE\POST,Post Holdings Inc
PPG,Stocks\US\NYSE\PPG,PPG Industries Inc
PPL,Stocks\US\NYSE\PPL,PPL Corp
PRU,Stocks\US\NYSE\PRU,Prudential Financial Inc
PSA,Stocks\US\NYSE\PSA,Public Storage
PSTG,Stocks\US\NYSE\PSTG,Everpure Inc
PTC,Stocks\US\Nasdaq\PTC,PTC Inc
PVH,Stocks\US\NYSE\PVH,PVH Corp
PWR,Stocks\US\NYSE\PWR,Quanta Services Inc
PYPL,Stocks\US\Nasdaq\PYPL,PayPal Holdings Inc
QCOM,Stocks\US\Nasdaq\QCOM,QUALCOMM Inc
QRVO,Stocks\US\Nasdaq\QRVO,Qorvo Inc
QTWO,Stocks\US\NYSE\QTWO,Q2 Holdings Inc
RARE,Stocks\US\Nasdaq\RARE,Ultragenyx Pharmaceutical Inc
RCL,Stocks\US\NYSE\RCL,Royal Caribbean Cruises Ltd
RF,Stocks\US\NYSE\RF,Regions Financial Corp
RGA,Stocks\US\NYSE\RGA,Reinsurance Group of America I
REGN,Stocks\US\Nasdaq\REGN,Regeneron Pharmaceuticals Inc
RGEN,Stocks\US\Nasdaq\RGEN,Repligen Corp
RGLD,Stocks\US\Nasdaq\RGLD,Royal Gold Inc
RH,Stocks\US\NYSE\RH,RH
RHI,Stocks\US\NYSE\RHI,Robert Half Inc
RJF,Stocks\US\NYSE\RJF,Raymond James Financial Inc
RL,Stocks\US\NYSE\RL,Ralph Lauren Corp
RMD,Stocks\US\NYSE\RMD,ResMed Inc
RNG,Stocks\US\NYSE\RNG,RingCentral Inc
ROKU,Stocks\US\Nasdaq\ROKU,Roku Inc
ROK,Stocks\US\NYSE\ROK,Rockwell Automation Inc
ROL,Stocks\US\NYSE\ROL,Rollins Inc
ROP,Stocks\US\NYSE\ROP,Roper Technologies Inc
RPM,Stocks\US\NYSE\RPM,RPM International Inc
ROST,Stocks\US\Nasdaq\ROST,Ross Stores Inc
RRR,Stocks\US\Nasdaq\RRR,Red Rock Resorts Inc
RRX,Stocks\US\NYSE\RRX,Regal Rexnord Corp
RS,Stocks\US\NYSE\RS,Reliance Inc
RSG,Stocks\US\NYSE\RSG,Republic Services Inc
RTX,Stocks\US\NYSE\RTX,RTX Corp
SAIA,Stocks\US\Nasdaq\SAIA,Saia Inc
RVTY,Stocks\US\NYSE\RVTY,Revvity Inc
SAIC,Stocks\US\Nasdaq\SAIC,Science Applications Internati
SAM,Stocks\US\NYSE\SAM,Boston Beer Co Inc/The
SCHW,Stocks\US\NYSE\SCHW,Charles Schwab Corp/The
SCI,Stocks\US\NYSE\SCI,Service Corp International/US
SEE,Stocks\US\NYSE\SEE,Sealed Air Corp
SF,Stocks\US\NYSE\SF,Stifel Financial Corp
SBUX,Stocks\US\Nasdaq\SBUX,Starbucks Corp
SHW,Stocks\US\NYSE\SHW,Sherwin-Williams Co/The
SITE,Stocks\US\NYSE\SITE,SiteOne Landscape Supply Inc
SJM,Stocks\US\NYSE\SJM,J M Smucker Co/The
SLAB,Stocks\US\Nasdaq\SLAB,Silicon Laboratories Inc
SLM,Stocks\US\Nasdaq\SLM,SLM Corp
SLB,Stocks\US\NYSE\SLB,SLB Ltd
SMG,Stocks\US\NYSE\SMG,Scotts Miracle-Gro Co/The
SNA,Stocks\US\NYSE\SNA,Snap-on Inc
SNAP,Stocks\US\NYSE\SNAP,Snap Inc
SNPS,Stocks\US\Nasdaq\SNPS,Synopsys Inc
SNX,Stocks\US\NYSE\SNX,SYNNEX Corp
SO,Stocks\US\NYSE\SO,Southern Co/The
SPG,Stocks\US\NYSE\SPG,Simon Property Group Inc
SPGI,Stocks\US\NYSE\SPGI,S&P Global Inc
SRPT,Stocks\US\Nasdaq\SRPT,Sarepta Therapeutics Inc
SSNC,Stocks\US\Nasdaq\SSNC,SS&C Technologies Holdings Inc
SRE,Stocks\US\NYSE\SRE,Sempra Energy
ST,Stocks\US\NYSE\ST,Sensata Technologies Holding P
STE,Stocks\US\NYSE\STE,STERIS PLC
STLD,Stocks\US\Nasdaq\STLD,Steel Dynamics Inc
STT,Stocks\US\NYSE\STT,State Street Corp
STZ,Stocks\US\NYSE\STZ,Constellation Brands Inc
SWKS,Stocks\US\Nasdaq\SWKS,Skyworks Solutions Inc
SYNA,Stocks\US\Nasdaq\SYNA,Synaptics Inc
SWK,Stocks\US\NYSE\SWK,Stanley Black & Decker Inc
SYF,Stocks\US\NYSE\SYF,Synchrony Financial
SYK,Stocks\US\NYSE\SYK,Stryker Corp
SYY,Stocks\US\NYSE\SYY,Sysco Corp
T,Stocks\US\NYSE\T,AT&T Inc
TAP,Stocks\US\NYSE\TAP,Molson Coors Beverage Co
TDG,Stocks\US\NYSE\TDG,TransDigm Group Inc
TDOC,Stocks\US\NYSE\TDOC,Teladoc Health Inc
TDY,Stocks\US\NYSE\TDY,Teledyne Technologies Inc
TECH,Stocks\US\Nasdaq\TECH,Bio-Techne Corp
TER,Stocks\US\Nasdaq\TER,Teradyne Inc
TFC,Stocks\US\NYSE\TFC,Truist Financial Corp
TMUS,Stocks\US\Nasdaq\TMUS,T-Mobile US Inc
TNDM,Stocks\US\Nasdaq\TNDM,Tandem Diabetes Care Inc
TRIP,Stocks\US\Nasdaq\TRIP,TripAdvisor Inc
TRMB,Stocks\US\Nasdaq\TRMB,Trimble Inc
TROW,Stocks\US\Nasdaq\TROW,T Rowe Price Group Inc
TSCO,Stocks\US\Nasdaq\TSCO,Tractor Supply Co
TSLA,Stocks\US\Nasdaq\TSLA,Tesla Inc
TTD,Stocks\US\Nasdaq\TTD,Trade Desk Inc/The
TTEK,Stocks\US\Nasdaq\TTEK,Tetra Tech Inc
TTWO,Stocks\US\Nasdaq\TTWO,Take-Two Interactive Software
TXG,Stocks\US\Nasdaq\TXG,10X Genomics Inc
TXN,Stocks\US\Nasdaq\TXN,Texas Instruments Inc
TXRH,Stocks\US\Nasdaq\TXRH,Texas Roadhouse Inc
ULTA,Stocks\US\Nasdaq\ULTA,Ulta Beauty Inc
UTHR,Stocks\US\Nasdaq\UTHR,United Therapeutics Corp
VIR,Stocks\US\Nasdaq\VIR,Vir Biotechnology Inc
VIRT,Stocks\US\NYSE\VIRT,Virtu Financial Inc
VRNS,Stocks\US\Nasdaq\VRNS,Varonis Systems Inc
VRSK,Stocks\US\Nasdaq\VRSK,Verisk Analytics Inc
VRSN,Stocks\US\Nasdaq\VRSN,VeriSign Inc
VRTX,Stocks\US\Nasdaq\VRTX,Vertex Pharmaceuticals Inc
VTRS,Stocks\US\Nasdaq\VTRS,Viatris Inc
XTIUSD,Commodities\Energies\XTIUSD,US Crude (Spot) vs US Dollar
XNGUSD,Commodities\Energies\XNGUSD,Natural Gas Spot USD
AAPL,Stocks\US\DOW\AAPL,Apple Inc
AXP,Stocks\US\DOW\AXP,American Express Co
BA,Stocks\US\DOW\BA,Boeing Co/The
CAT,Stocks\US\DOW\CAT,Caterpillar Inc
CSCO,Stocks\US\DOW\CSCO,Cisco Systems Inc/Delaware
CVX,Stocks\US\DOW\CVX,Chevron Corp
DIS,Stocks\US\DOW\DIS,Walt Disney Co/The
DOW,Stocks\US\DOW\DOW,Dow Inc
GE,Stocks\US\DOW\GE,General Electric Co
GS,Stocks\US\DOW\GS,Goldman Sachs Group Inc/The
HD,Stocks\US\DOW\HD,Home Depot Inc/The
IBM,Stocks\US\DOW\IBM,International Business Machine
INTC,Stocks\US\DOW\INTC,Intel Corp
JNJ,Stocks\US\DOW\JNJ,Johnson & Johnson
JPM,Stocks\US\DOW\JPM,JPMorgan Chase & Co
KO,Stocks\US\DOW\KO,Coca-Cola Co/The
MCD,Stocks\US\DOW\MCD,McDonald's Corp
MMM,Stocks\US\DOW\MMM,3M Co
MRK,Stocks\US\DOW\MRK,Merck & Co Inc
MSFT,Stocks\US\DOW\MSFT,Microsoft Corp
NKE,Stocks\US\DOW\NKE,NIKE Inc
PFE,Stocks\US\DOW\PFE,Pfizer Inc
PG,Stocks\US\DOW\PG,Procter & Gamble Co/The
TRV,Stocks\US\DOW\TRV,Travelers Cos Inc/The
UNH,Stocks\US\DOW\UNH,UnitedHealth Group Inc
V,Stocks\US\DOW\V,Visa Inc
VZ,Stocks\US\DOW\VZ,Verizon Communications Inc
WMT,Stocks\US\DOW\WMT,Walmart Inc
XOM,Stocks\US\DOW\XOM,Exxon Mobil Corp
TFX,Stocks\US\NYSE\TFX,Teleflex Inc
TGT,Stocks\US\NYSE\TGT,Target Corp
THC,Stocks\US\NYSE\THC,Tenet Healthcare Corp
THO,Stocks\US\NYSE\THO,Thor Industries Inc
TJX,Stocks\US\NYSE\TJX,TJX Cos Inc/The
TKR,Stocks\US\NYSE\TKR,Timken Co/The
TMO,Stocks\US\NYSE\TMO,Thermo Fisher Scientific Inc
TNL,Stocks\US\NYSE\TNL,Travel + Leisure Co
TOL,Stocks\US\NYSE\TOL,Toll Brothers Inc
TPL,Stocks\US\NYSE\TPL,Texas Pacific Land Corp
TPR,Stocks\US\NYSE\TPR,Tapestry Inc
TREX,Stocks\US\NYSE\TREX,Trex Co Inc
TRGP,Stocks\US\NYSE\TRGP,Targa Resources Corp
TRU,Stocks\US\NYSE\TRU,TransUnion
TSN,Stocks\US\NYSE\TSN,Tyson Foods Inc
TTC,Stocks\US\NYSE\TTC,Toro Co/The
TWLO,Stocks\US\NYSE\TWLO,Twilio Inc
TXT,Stocks\US\NYSE\TXT,Textron Inc
TYL,Stocks\US\NYSE\TYL,Tyler Technologies Inc
UAL,Stocks\US\NYSE\UAL,United Airlines Holdings Inc
UBER,Stocks\US\NYSE\UBER,Uber Technologies Inc
UGI,Stocks\US\NYSE\UGI,UGI Corp
UHS,Stocks\US\NYSE\UHS,Universal Health Services Inc
UNM,Stocks\US\NYSE\UNM,Unum Group
UNP,Stocks\US\NYSE\UNP,Union Pacific Corp
UPS,Stocks\US\NYSE\UPS,United Parcel Service Inc
URI,Stocks\US\NYSE\URI,United Rentals Inc
USB,Stocks\US\NYSE\USB,US Bancorp
USFD,Stocks\US\NYSE\USFD,US Foods Holding Corp
VAC,Stocks\US\NYSE\VAC,Marriott Vacations Worldwide C
VEEV,Stocks\US\NYSE\VEEV,Veeva Systems Inc
VFC,Stocks\US\NYSE\VFC,VF Corp
VLO,Stocks\US\NYSE\VLO,Valero Energy Corp
VMC,Stocks\US\NYSE\VMC,Vulcan Materials Co
VOYA,Stocks\US\NYSE\VOYA,Voya Financial Inc
VST,Stocks\US\NYSE\VST,Vistra Corp
VVV,Stocks\US\NYSE\VVV,Valvoline Inc
VYX,Stocks\US\NYSE\VYX,NCR Voyix Corp
W,Stocks\US\NYSE\W,Wayfair Inc
WAB,Stocks\US\NYSE\WAB,Westinghouse Air Brake Technol
WAL,Stocks\US\NYSE\WAL,Western Alliance Bancorp
WAT,Stocks\US\NYSE\WAT,Waters Corp
WCC,Stocks\US\NYSE\WCC,WESCO International Inc
WEC,Stocks\US\NYSE\WEC,WEC Energy Group Inc
WEX,Stocks\US\NYSE\WEX,WEX Inc
WFC,Stocks\US\NYSE\WFC,Wells Fargo & Co
WH,Stocks\US\NYSE\WH,Wyndham Hotels & Resorts Inc
WHR,Stocks\US\NYSE\WHR,Whirlpool Corp
WK,Stocks\US\NYSE\WK,Workiva Inc
WM,Stocks\US\NYSE\WM,Waste Management Inc
WMB,Stocks\US\NYSE\WMB,Williams Cos Inc/The
WMS,Stocks\US\NYSE\WMS,Advanced Drainage Systems Inc
WRB,Stocks\US\NYSE\WRB,W R Berkley Corp
WSM,Stocks\US\NYSE\WSM,Williams-Sonoma Inc
WSO,Stocks\US\NYSE\WSO,Watsco Inc
WST,Stocks\US\NYSE\WST,West Pharmaceutical Services I
WTRG,Stocks\US\NYSE\WTRG,Essential Utilities Inc
WU,Stocks\US\NYSE\WU,Western Union Co/The
XPO,Stocks\US\NYSE\XPO,XPO Inc
XYL,Stocks\US\NYSE\XYL,Xylem Inc/NY
YETI,Stocks\US\NYSE\YETI,YETI Holdings Inc
YUM,Stocks\US\NYSE\YUM,Yum! Brands Inc
ZBH,Stocks\US\NYSE\ZBH,Zimmer Biomet Holdings Inc
ZTS,Stocks\US\NYSE\ZTS,Zoetis Inc
WDAY,Stocks\US\NYSE\WDAY,Workday Inc
WDC,Stocks\US\Nasdaq\WDC,Western Digital Corp
AAXJ,ETFs\AAXJ,iShares MSCI All Country Asia
ARKG,ETFs\ARKG,ARK Genomic Revolution ETF
ARKK,ETFs\ARKK,ARK Innovation ETF
ARKW,ETFs\ARKW,ARK Next Generation Internet E
DGRO,ETFs\DGRO,iShares Core Dividend Growth E
DIA,ETFs\DIA,"State Street SPDR Dow Jones Industrial Average ETF
Trust"
DVY,ETFs\DVY,iShares Select Dividend ETF
EEM,ETFs\EEM,iShares MSCI Emerging Markets
EFA,ETFs\EFA,iShares MSCI EAFE ETF
EFAV,ETFs\EFAV,iShares MSCI EAFE Min Vol Fact
EFG,ETFs\EFG,iShares MSCI EAFE Growth ETF
EFV,ETFs\EFV,iShares MSCI EAFE Value ETF
EMB,ETFs\EMB,iShares JP Morgan USD Emerging
ESGU,ETFs\ESGU,iShares ESG Aware MSCI USA ETF
EWJ,ETFs\EWJ,iShares MSCI Japan ETF
EWT,ETFs\EWT,iShares MSCI Taiwan ETF
EWY,ETFs\EWY,iShares MSCI South Korea ETF
EWZ,ETFs\EWZ,iShares MSCI Brazil ETF
EZU,ETFs\EZU,iShares MSCI Eurozone ETF
FDN,ETFs\FDN,First Trust Dow Jones Internet
FTEC,ETFs\FTEC,Fidelity MSCI Information Tech
FVD,ETFs\FVD,First Trust Value Line Dividen
GDX,ETFs\GDX,VanEck Vectors Gold Miners ETF
GDXJ,ETFs\GDXJ,VanEck Vectors Junior Gold Min
GLD,ETFs\GLD,SPDR Gold Shares
GSLC,ETFs\GSLC,Goldman Sachs ActiveBeta U.S.
HDV,ETFs\HDV,iShares Core High Dividend ETF
IBB,ETFs\IBB,iShares Nasdaq Biotechnology E
ICLN,ETFs\ICLN,iShares Global Clean Energy ET
IGV,ETFs\IGV,iShares Expanded Tech-Software
IHI,ETFs\IHI,iShares U.S. Medical Devices E
IJH,ETFs\IJH,iShares Core S&P Mid-Cap ETF
IJR,ETFs\IJR,iShares Core S&P Small-Cap ETF
IJS,ETFs\IJS,iShares S&P Small-Cap 600 Valu
INDA,ETFs\INDA,iShares MSCI India ETF
ITOT,ETFs\ITOT,iShares Core S&P Total US Stoc
IUSG,ETFs\IUSG,iShares Core S&P U.S. Growth E
IUSV,ETFs\IUSV,iShares Core S&P U.S. Value ET
IVE,ETFs\IVE,iShares S&P 500 Value ETF
IVW,ETFs\IVW,iShares S&P 500 Growth ETF
IWB,ETFs\IWB,iShares Russell 1000 ETF
IWD,ETFs\IWD,iShares Russell 1000 Value ETF
IWF,ETFs\IWF,iShares Russell 1000 Growth ET
IWM,ETFs\IWM,iShares Russell 2000 ETF
IWN,ETFs\IWN,iShares Russell 2000 Value ETF
IWO,ETFs\IWO,iShares Russell 2000 Growth ET
IWS,ETFs\IWS,iShares Russell Mid-Cap Value
IYR,ETFs\IYR,iShares U.S. Real Estate ETF
IYW,ETFs\IYW,iShares US Technology ETF
KRE,ETFs\KRE,State Street SPDR S&P Regional Banking ETF
MCHI,ETFs\MCHI,iShares MSCI China ETF
MDY,ETFs\MDY,State Street SPDR S&P MidCap 400 ETF Trust
MTUM,ETFs\MTUM,iShares MSCI USA Momentum Fact
OEF,ETFs\OEF,iShares S&P 100 ETF
PFF,ETFs\PFF,iShares Preferred & Income Sec
QQQ,ETFs\QQQ,Invesco QQQ Trust Series 1
QUAL,ETFs\QUAL,iShares MSCI USA Quality Facto
RSP,ETFs\RSP,Invesco S&P 500 Equal Weight E
SCHB,ETFs\SCHB,Schwab US Broad Market ETF
SCHD,ETFs\SCHD,Schwab US Dividend Equity ETF
SCHF,ETFs\SCHF,Schwab International Equity ET
SCHG,ETFs\SCHG,Schwab U.S. Large-Cap Growth E
SCHV,ETFs\SCHV,Schwab U.S. Large-Cap Value ET
SCZ,ETFs\SCZ,iShares MSCI EAFE Small-Cap ET
SKYY,ETFs\SKYY,First Trust Cloud Computing ET
SLV,ETFs\SLV,iShares Silver Trust
SMH,ETFs\SMH,VanEck Vectors Semiconductor E
SOXX,ETFs\SOXX,iShares PHLX Semiconductor ETF
SPDW,ETFs\SPDW,State Street SPDR Portfolio Developed World ex-US ETF
SPLV,ETFs\SPLV,Invesco S&P 500 Low Volatility
SPY,ETFs\SPY,State Street SPDR S&P 500 ETF Trust
SPYG,ETFs\SPYG,State Street SPDR Portfolio S&P 500 Growth ETF
SPYV,ETFs\SPYV,State Street SPDR Portfolio S&P 500 Value ETF
TIP,ETFs\TIP,iShares TIPS Bond ETF
TLT,ETFs\TLT,iShares 20+ Year Treasury Bond
USMV,ETFs\USMV,iShares MSCI USA Min Vol Facto
VDE,ETFs\VDE,Vanguard Energy ETF
VEA,ETFs\VEA,Vanguard FTSE Developed Market
VGT,ETFs\VGT,Vanguard Information Technolog
VHT,ETFs\VHT,Vanguard Health Care ETF
VLUE,ETFs\VLUE,iShares MSCI USA Value Factor
VNQ,ETFs\VNQ,Vanguard Real Estate ETF
VOE,ETFs\VOE,Vanguard Mid-Cap Value ETF
VPL,ETFs\VPL,Vanguard FTSE Pacific ETF
VT,ETFs\VT,Vanguard Total World Stock ETF
VTI,ETFs\VTI,Vanguard Total Stock Market ET
VWO,ETFs\VWO,Vanguard FTSE Emerging Markets
VXF,ETFs\VXF,Vanguard Extended Market ETF
VXUS,ETFs\VXUS,Vanguard Total International S
XBI,ETFs\XBI,State Street SPDR S&P Biotech ETF
XLB,ETFs\XLB,State Street Materials Select Sector SPDR
XLC,ETFs\XLC,State Street Communication Services Select Sector SPDR
XLE,ETFs\XLE,State Street Energy Select Sector SPDR
XLF,ETFs\XLF,State Street Financial Select Sector SPDR
XLI,ETFs\XLI,State Street Industrial Select Sector SPDR
XLK,ETFs\XLK,State Street Technology Select Sector SPDR
XLP,ETFs\XLP,State Street Consumer Staples Select Sector SPDR
XLU,ETFs\XLU,State Street Utilities Select Sector SPDR
XLV,ETFs\XLV,State Street Health Care Select Sector SPDR
XLY,ETFs\XLY,State Street Consumer Discretionary Select Sector SPDR
WWD,Stocks\US\Nasdaq\WWD,Woodward Inc
WYNN,Stocks\US\Nasdaq\WYNN,Wynn Resorts Ltd
XEL,Stocks\US\NYSE\XEL,Xcel Energy Inc
XRAY,Stocks\US\Nasdaq\XRAY,DENTSPLY SIRONA Inc
ZBRA,Stocks\US\Nasdaq\ZBRA,Zebra Technologies Corp
ZD,Stocks\US\Nasdaq\ZD,Ziff Davis Inc
ZG,Stocks\US\Nasdaq\ZG,Zillow Group Inc
ZION,Stocks\US\Nasdaq\ZION,Zions Bancorp NA
ZM,Stocks\US\Nasdaq\ZM,Zoom Communications Inc
ZS,Stocks\US\Nasdaq\ZS,Zscaler Inc
ZWS,Stocks\US\NYSE\ZWS,Zurn Water Solutions Corp
COIN,Stocks\US\Nasdaq\COIN,Coinbase Global Inc
XYZ,Stocks\US\NYSE\XYZ,Block Inc
SGI,Stocks\US\NYSE\SGI,Somnigroup International Inc
BRSL,Stocks\US\NYSE\BRSL,Brightstar Lottery
MRSH,Stocks\US\NYSE\MRSH,Marsh
